N-1,N,nov_min_temp,nov_max_temp,aug_max_temp,dec_min_temp,july_max_temp,jan_min_temp,sept_max_temp,fall_precip,winter_precip,winter_min_temp_sd,winter_precip_sd,august_max_temp_sd,september_max_temp_sd,feb_min_temp,feb_max_temp,june_max_temp,june_max_temp_sd,july_max_temp_sd,dec_max_temp,nov_max_temp_sd.x
9242,22090,46,64.93333333,88.64516129,42.51612903,92.12903226,41.35483871,84.2,3.54,9.56,4.949375038,2.902078301,6.969210319,4.446876729,43.39285714,62.10714286,86.1,6.423824191,4.645728759,57.96774194,4.926587497
22090,8925,48.66666667,64.83333333,93.96774194,38.16129032,91.38709677,42.19354839,88.13333333,3.79,7.6,5.325497971,3.571492102,7.622265066,10.32600779,43.14285714,56.64285714,79.76666667,7.156782813,7.36060423,53.09677419,7.952806199
8925,10908,45.06666667,61.53333333,87.80645161,34.77419355,87.70967742,37.80645161,83.83333333,2.63,14.56,4.785349048,2.697196635,6.539211751,4.811862736,40.82142857,59.35714286,86.03333333,9.080040002,8.173916028,54.48387097,3.491204054
10908,9770,43.66666667,65.36666667,88.64516129,37.61290323,86.5483871,43.09677419,86.53333333,0.26,4.72,5.270867777,4.016537876,7.574291549,7.937688363,45.48275862,59.20689655,87.76666667,8.463647756,6.717334341,59.5483871,6.687524842
9770,4097,40.36666667,59.13333333,89.90322581,37.4516129,87.87096774,34.93548387,85.6,1.98,9.84,4.879006844,3.002397166,5.827262586,5.404234185,40.57142857,57.89285714,87.2,6.974831601,6.746564239,56.48387097,7.726949406
4097,3173,44.93333333,64.93333333,88.87096774,41.64516129,91.87096774,37.16129032,85.63333333,2.53,10.96,4.515395637,3.19542778,7.126204859,8.403338144,39.46428571,62.10714286,88.36666667,6.733771466,5.823755578,54.29032258,6.847770004
3173,3125,44.6,64.96666667,88.03225806,42.03225806,94.4516129,43.03225806,87.26666667,1.76,7.73,5.738826131,4.43504588,4.71510955,7.012304457,40.5,59.5,85.86666667,7.73141078,5.697009213,55.41935484,3.819038815
3125,2520,43.73333333,60.4,90.32258065,41.61290323,90.61290323,39.12903226,87,1.09,4.84,4.633630272,3.083069468,5.935133229,8.426081567,42.10344828,59.62068966,88.1,5.779571634,4.758693233,55.12903226,4.499808425
2520,1387,43.96666667,58.53333333,91.32258065,38.93548387,94.61290323,39.16129032,85.96666667,4.57,11.79,5.080028022,3.227715098,6.002150152,4.758537397,44.42857143,59.60714286,81.66666667,6.819512235,5.760077658,52.74193548,4.57680308
1387,291,46.1,66.4,87.87096774,42.35483871,95.67741935,42.03225806,81.66666667,0.82,15.54,4.821622666,2.536738365,3.783666084,6.984383237,41.21428571,61.78571429,87.63333333,8.323143195,6.99231529,57.12903226,6.111605692
291,399,47.03333333,63.4,90.74193548,37.19354839,91.19354839,33.80645161,85.66666667,0.8,5.23,4.717068252,3.102945032,6.228791975,7.087628853,42.71428571,59.82142857,88.23333333,7.351675077,7.035241549,56.48387097,6.975820308
399,754,46.66666667,66.8,92.03225806,39.06451613,91.93548387,38.35483871,81.8,0,4.62,4.652404431,3.210950485,7.296044001,8.050415853,41.72413793,60.4137931,88,6.554808711,6.678001117,54.61290323,5.886278609
754,251,48.6,66.46666667,90.64516129,36.64516129,92.09677419,36.09677419,87.46666667,0.7,7.56,3.575974753,2.160023278,6.258585501,8.101653017,42.07142857,59.75,83.9,6.885016215,6.378896659,51.87096774,5.217565381
251,137,39.73333333,65.73333333,87.67741935,36.29032258,91.41935484,40.09677419,90.46666667,3.35,8.01,4.065562112,2.579477566,5.810261594,6.96633943,43.17857143,59.28571429,87.06666667,7.133859686,4.904244376,52.51612903,4.777341154
137,158,42.9,63.76666667,89.80645161,44.67741935,87.96774194,37.96774194,87.23333333,1.03,9.31,3.837645087,2.073624973,3.409979031,6.101158737,36.96428571,59.28571429,82.16666667,10.42570872,6.675746505,56.77419355,8.071590594
158,201,40.56666667,61.1,92.67741935,32.48387097,89.83870968,34.58064516,89.5,1.61,2.82,5.254272898,3.02697087,6.068427016,3.682983548,40.13793103,62.68965517,85.43333333,8.560870619,6.967049946,57.90322581,6.070562094
201,182,44.86666667,66.76666667,87.93548387,40,92.19354839,34.16129032,88.76666667,4.49,5.8,5.11134189,3.198303652,3.794166433,6.667902184,36.53571429,62.46428571,88.26666667,9.028435284,6.799114427,55.25806452,5.437312555
182,313,41.96666667,67.76666667,89.38709677,31.5483871,91.19354839,36.96774194,84.43333333,1.96,0.99,4.847682845,3.29438906,5.232446333,5.723514715,44.46428571,63.71428571,89.1,7.063016841,5.844766062,59.22580645,5.763639495
313,77,44.46666667,66.83333333,91.29032258,50.74193548,92.67741935,44.25806452,86,1.86,9.62,5.651791586,3.65536602,5.001290156,7.72672627,53.46428571,72.92857143,86.36666667,3.15663869,3.655015702,62.51612903,6.292213762
77,60,41.03333333,64.03333333,91.38709677,39.22580645,92.41935484,44.16129032,89.56666667,3.95,3.61,5.673207033,3.646420853,3.747687459,6.482514058,43.75862069,68.34482759,90.03333333,8.401491384,5.572397411,56.96774194,5.359383221
60,61,45.76666667,67.43333333,94.19354839,38.09677419,94.70967742,40.03225806,87.66666667,2.8,6.31,4.811376601,2.970129059,6.252569364,7.988785243,46.28571429,61.57142857,88.63333333,8.636264092,5.190976455,57.29032258,7.407746799
61,21,45.03333333,63.5,91.77419355,38.61290323,95.4516129,38.80645161,86.8,2.31,10.88,4.856841705,4.265978627,7.079122721,5.976582655,42.75,62.32142857,89.56666667,6.916663205,4.998924616,54.38709677,4.116828374
21,12,42.6,70.2,95.16129032,40.93548387,92.74193548,42.06451613,89.26666667,1.55,6.64,2.177306725,0.901378368,5.598194794,7.161599385,40.78571429,57.42857143,89.9,6.002011157,4.234522735,59.96774194,7.738840687
12,16,44.5,66.9,93.64516129,41.35483871,93.90322581,39.19354839,88.23333333,0.83,9.31,5.422334796,4.314528491,4.99698834,5.17775969,43.27586207,65.79310345,90.93333333,8.093988119,4.361611619,57.80645161,5.897690957
16,9,41.7,66.86666667,92.67741935,38.06451613,95.74193548,38.58064516,88.53333333,0.7,5.02,2.3087229,1.541283524,5.16647589,7.538102447,41.96428571,62.28571429,90.36666667,7.194266555,4.611346455,55,3.350072911
9,5,44.76666667,67.4,94.96774194,39.41935484,94.09677419,37.38709677,90.26666667,2.07,5.7,2.941870347,1.658308427,4.915851035,6.015401688,37.78571429,65.14285714,90.2,6.76400208,4.657287041,54.58064516,5.163532605
